GaiaDR3,n_refs,refs,has_rv,classes
447652213495585664,1,Risbud2025,True,T
447670424156418944,1,Risbud2025,False,T
447700282769057536,1,Risbud2025,False,T
447755876825497856,1,Risbud2025,True,T
447768761727525760,2,"Kos2024, Risbud2025",False,T
447881736548059264,1,Risbud2025,False,T
447995364201972992,1,Risbud2025,True,T
448091159152080640,1,Risbud2025,True,T
448111598897227520,1,Risbud2025,True,T
448111603196958592,1,Risbud2025,False,T
448223852163698176,2,"Kos2024, Risbud2025",True,T
448313672817423488,1,Risbud2025,True,T
448536701879193216,1,Risbud2025,True,T
453388022060829184,1,Risbud2025,True,T
453431109172256000,1,Risbud2025,True,T
453564356238694784,1,Risbud2025,True,T
453637130164013440,1,Risbud2025,True,T
454260312742031360,1,Risbud2025,True,T
454573707912931200,1,Risbud2025,False,T
454760590531751424,1,Risbud2025,True,T
454786252955059968,1,Risbud2025,True,T
454845218566439808,2,"Kos2024, Risbud2025",True,T
457090524393674368,1,Risbud2025,False,T
457667286961228544,1,Risbud2025,True,T
457771809283015168,2,"Kos2024, Risbud2025",False,T
457889594466823040,2,"Kos2024, Risbud2025",True,T
457895538700596608,1,Risbud2025,False,T
457901723454115712,1,Risbud2025,True,T
457926977861597440,1,Risbud2025,True,T
457944948005722112,1,Risbud2025,True,T
457959138576016640,2,"Kos2024, Risbud2025",False,T
457990474658992384,1,Risbud2025,True,T
457999992307513728,1,Risbud2025,False,T
458031294029981056,1,Risbud2025,True,T
458033458693482624,1,Risbud2025,True,T
458067680993514880,1,Risbud2025,True,T
458078985347313152,1,Risbud2025,True,T
458114719472979456,1,Risbud2025,False,T
458131212147286400,1,Kos2024,False,L
458131555744248192,2,"Kos2024, Risbud2025",False,T
458167255512644480,2,"Kos2024, Risbud2025",True,T
458197320283280768,2,"Kos2024, Risbud2025",False,T
458215840181883904,2,"Kos2024, Risbud2025",False,T
458232573374412544,1,Kos2024,True,T
458237899133772544,2,"Kos2024, Risbud2025",True,T
458268066987327104,1,Risbud2025,False,T
458301292855068288,1,Risbud2025,False,T
458479757336672000,1,Risbud2025,False,T
458503048933544448,1,Kos2024,False,T
458520611066439552,1,Risbud2025,False,T
458528788680963456,2,"Kos2024, Risbud2025",False,T
458649180902443264,1,Kos2024,True,L
458674302171898880,1,Risbud2025,True,T
458735153269769472,1,Risbud2025,False,T
458758449172009600,1,Risbud2025,False,T
458778545314980736,1,Kos2024,True,L
458779369948700416,1,Risbud2025,True,L
458781985593495296,2,"Kos2024, Risbud2025",True,T
458788788821813120,1,Risbud2025,False,T
458793702264317184,1,Kos2024,False,T
458795111013503488,2,"Kos2024, Risbud2025",False,T
458795145373273472,2,"Kos2024, Risbud2025",True,T
458824621726124288,1,Risbud2025,False,T
458857954974047360,2,"Kos2024, Risbud2025",True,T
458868984449856896,2,"Kos2024, Risbud2025",True,T
