GaiaDR3,Cluster,Ref,ClusterID,Grade,Class,RA_ICRS,DE_ICRS,rmedgeo,pmRA,pmDE,RV,Gmag,BPmag,RPmag,BP-RP,GMAG,r3d,v3d,rsky,pmR,e_pmR,pmT,e_pmT,deltaRVGC,deltaphiGC,distFromO,distAlongO,cmdDist,q,e_q,MassSysMLR,MassSys,e_MassSys,MassA,e_MassA,MassB,e_MassB,_RA.icrs,_DE.icrs,has_rv,cluster_ra,cluster_dec,cluster_distance,r_cluster_pc,distance_ratio
507114386445183872,Stock_2,Kos2024,105,S,L,32.439605,59.455401,384.0563,15.9402,-13.2125,7.4454,13.5798,14.0735,12.9246,1.1488,5.6578,14.61,0.97,0.7257,-0.2885,0.0143,0.3761,0.0144,0.2536,-0.0869,5.77,13.22,,,,,,,,,,,32.439466,59.45546,True,33.8500429,59.57700901,370.24623325,14.612753215525418,1.0372996819677978
506416746316374272,Stock_2,Kos2024,105,S,L,27.269641,58.831543,371.9449,17.3858,-12.0856,9.2606,14.3962,14.9814,13.6706,1.3108,6.5438,22.4,2.53,3.4469,0.0016,0.0171,0.0565,0.0129,1.8646,-0.0994,18.03,13.22,,,,,,,,,,,27.269492,58.831597,True,33.8500429,59.57700901,370.24623325,22.399443705202252,1.0045879379652
510771636998392448,Stock_2,Kos2024,105,S,L,23.338638,61.606475,361.3964,18.6907,-11.4296,0.7275,14.6803,15.3364,13.9045,1.4319,6.8904,36.44,3.98,5.5297,0.2695,0.0054,-0.1164,0.0223,-2.4141,-0.1182,33.8,13.7,,,,,,,,,,,23.338463,61.606526,True,33.8500429,59.57700901,370.24623325,36.43581204614957,0.976097438798184
507599236711821184,Stock_2,Kos2024,105,S,L,32.151329,60.619655,392.7515,15.8252,-12.8074,7.2737,14.3113,14.9446,13.5424,1.4022,6.3407,24.22,1.02,1.343,-0.4572,0.0086,-0.2848,0.0271,0.6985,-0.1457,9.65,22.2,,,,,,,,,,,32.151186,60.619712,True,33.8500429,59.57700901,370.24623325,24.215550321174593,1.0607845934108502
507181417994329088,Stock_2,Kos2024,105,S,L,31.164069,59.969783,394.057,16.155,-13.4518,4.4277,15.3916,16.0596,14.3718,1.6878,7.4138,25.59,3.83,1.4078,-0.9677,0.0253,0.8905,0.0499,-0.7446,-0.1608,7.45,24.56,,,,,,,,,,,31.163926,59.969843,True,33.8500429,59.57700901,370.24623325,25.593928053451712,1.064310625231729
508699263739211648,Stock_2,Kos2024,105,S,L,29.159813,61.75607,389.0329,16.2114,-11.9226,5.467,12.7934,13.2116,12.2058,1.0058,4.8435,28.15,0.75,3.1636,0.1369,0.0011,-0.1935,0.0121,-0.382,-0.1818,10.45,25.97,,,,,,,,,,,29.159661,61.756123,True,33.8500429,59.57700901,370.24623325,28.14992095421681,1.0507410070997663
507915002711198208,Stock_2,Kos2024,105,S,L,29.525416,60.167905,392.0602,16.2505,-11.9467,5.536,13.4755,13.9686,12.817,1.1516,5.5088,26.45,1.45,2.2486,-0.2564,0.007,-0.1581,0.0128,-0.4625,-0.178,1.67,26.45,,,,,,,,,,,29.525271,60.167958,True,33.8500429,59.57700901,370.24623325,26.448226486538932,1.058917457602521
459890327669462144,Stock_2,Risbud2025,106,S,T,44.575109,56.877881,378.5352,12.776,-15.3898,30.3401,14.5475,15.2021,13.7655,1.4366,6.657,41.65,18.46,6.2372,-0.2124,0.01,0.2481,0.03,14.5472,0.1703,35.85,-21.26,,,,,,,,,,,44.575005,56.877949,True,33.8500429,59.57700901,370.24623325,41.64761801433427,1.0223877139201119
460889165264413312,Stock_2,Risbud2025,106,S,T,42.129065,57.625379,370.2603,13.6777,-15.7579,14.7045,13.6202,14.1163,12.9624,1.154,5.7776,30.56,3.79,4.7247,-0.0127,0.0075,-0.2527,0.0189,3.0873,0.1539,22.96,-20.31,,,,,,,,,,,42.128951,57.625449,True,33.8500429,59.57700901,370.24623325,30.557707409297993,1.0000379929591086
464051395067677696,Stock_2,Risbud2025,106,S,T,42.202092,58.679117,368.4781,13.5519,-15.8126,10.0448,10.6164,10.814,10.2779,0.5361,2.7844,28.26,0.68,4.3713,-0.2575,0.0111,-0.1462,0.0183,-0.3387,0.1469,20.31,-19.84,,,,,,,,,,,42.201976,58.679187,True,33.8500429,59.57700901,370.24623325,28.255613501364078,0.995224439599346
464241163903378944,Stock_2,Risbud2025,106,S,T,38.917658,58.837957,361.5381,15.2531,-15.9273,15.7333,14.3975,15.0233,13.6388,1.3845,6.6068,19.3,6.21,2.6957,0.4863,0.0124,-0.6113,0.0232,5.2151,0.1258,7.56,-17.95,,,,,,,,,,,38.917527,58.838028,True,33.8500429,59.57700901,370.24623325,19.295304282764853,0.9764801570739545
508372983661200000,Stock_2,Risbud2025,106,S,T,31.491617,60.976346,339.9293,17.3544,-14.5227,6.7445,13.3778,13.9173,12.6798,1.2375,5.7208,32.35,0.87,1.8231,0.2693,0.0025,0.4535,0.0132,-0.7212,0.1021,26.89,-17.95,,,,,,,,,,,31.491458,60.976411,True,33.8500429,59.57700901,370.24623325,32.3506961203078,0.9181168354263062
458795145373273472,Stock_2,Risbud2025,106,S,T,34.056643,58.668926,357.8737,16.1411,-13.9444,13.6558,11.7984,12.1944,11.2269,0.9675,4.0298,13.67,5.08,0.9142,-0.2372,0.0118,-0.1553,0.0132,3.326,0.0724,7.9,-11.34,,,,,,,,,,,34.056505,58.668988,True,33.8500429,59.57700901,370.24623325,13.668057754522266,0.9665829598281267
458868984449856896,Stock_2,Risbud2025,106,S,T,37.312934,58.367222,366.4365,16.1887,-13.9478,10.8199,14.9131,15.6541,14.078,1.5761,7.0931,14.37,2.52,2.1554,0.5475,0.0055,1.113,0.0303,1.9188,0.0849,8.54,-11.34,,,,,,,,,,,37.312797,58.367284,True,33.8500429,59.57700901,370.24623325,14.372842087870033,0.9897102714143549
465289582596117888,Stock_2,Risbud2025,106,S,T,37.658406,60.036604,364.498,15.4708,-14.797,5.0461,14.621,15.3173,13.8106,1.5067,6.8125,13.87,3.88,1.969,0.3616,0.0232,-0.0028,0.0138,-2.392,0.0783,8.14,-11.34,,,,,,,,,,,37.658268,60.03667,True,33.8500429,59.57700901,370.24623325,13.873124582352437,0.9844745665619814
458781985593495296,Stock_2,Risbud2025,106,S,T,34.774532,58.584097,353.8291,15.8116,-14.6204,9.2449,15.031,15.7804,14.1885,1.5919,7.2871,17.83,0.98,1.1006,-0.1118,0.0122,-0.5153,0.0334,-0.2157,0.1032,8.3,-15.59,,,,,,,,,,,34.774397,58.584162,True,33.8500429,59.57700901,370.24623325,17.82879489088818,0.955658878401297
458857954974047360,Stock_2,Risbud2025,106,S,T,36.980544,58.079322,365.1102,15.2368,-14.6063,11.1659,10.2786,10.4205,10.0183,0.4021,2.4664,15.06,1.6,2.2055,0.0229,0.0003,-0.0698,0.021,1.1981,0.0896,8.66,-12.28,,,,,,,,,,,36.980416,58.079387,True,33.8500429,59.57700901,370.24623325,15.05859376294767,0.9861280607640052
465027864470219392,Stock_2,Risbud2025,106,S,T,38.335283,59.450555,362.5969,14.8569,-14.7401,1.7105,14.4359,15.0994,13.6485,1.4509,6.6388,16.46,7.6,2.278,-0.1798,0.017,0.3389,0.0188,-5.8316,0.1044,7.08,-14.64,,,,,,,,,,,38.335153,59.450621,True,33.8500429,59.57700901,370.24623325,16.456224186542137,0.9793398755664451
506876101661268992,Stock_2,Risbud2025,106,S,T,32.955393,58.820493,350.6096,16.6675,-13.7501,-29.0055,14.9172,15.635,14.0947,1.5403,7.1931,20.41,37.27,0.8844,-0.2281,0.0354,-0.471,0.0041,-26.7573,0.0897,14.37,-14.64,,,,,,,,,,,32.95525,58.820554,True,33.8500429,59.57700901,370.24623325,20.408955462627677,0.946963313906989
457889594466823040,Stock_2,Risbud2025,106,S,T,39.484019,57.070268,371.4406,14.4134,-14.538,11.0687,14.8524,15.5315,14.0568,1.4748,7.0029,25.11,0.55,3.8725,-0.143,0.0017,0.2254,0.0399,0.3738,0.1142,20.43,-14.64,,,,,,,,,,,39.483901,57.070332,True,33.8500429,59.57700901,370.24623325,25.107187390713346,1.003225871441057
463870765923034880,Stock_2,Risbud2025,106,S,T,40.899039,57.410096,376.0051,14.522,-14.4697,15.2999,13.119,13.5669,12.4986,1.0682,5.243,28.39,4.74,4.2667,0.3436,0.004,0.7568,0.0209,4.0655,0.1119,24.86,-13.7,,,,,,,,,,,40.898919,57.41016,True,33.8500429,59.57700901,370.24623325,28.394665841511504,1.015554153514133
464196083925282944,Stock_2,Risbud2025,106,S,T,40.175003,58.884032,370.4435,14.1763,-15.1981,14.3175,14.2154,14.7977,13.492,1.3056,6.3718,21.38,4.36,3.3059,-0.0715,0.0138,-0.0551,0.0175,3.3314,0.1038,16.47,-13.7,,,,,,,,,,,40.174881,58.884099,True,33.8500429,59.57700901,370.24623325,21.378434082353518,1.0005327988032948
458960862389706112,Stock_2,Risbud2025,106,S,T,37.848527,58.622316,366.6133,15.472,-14.7941,-1.6735,15.0254,15.9575,14.0754,1.8821,7.2043,15.0,11.26,2.2634,0.4707,0.0106,0.1349,0.0296,-7.6334,0.089,8.84,-12.28,,,,,,,,,,,37.848395,58.622382,True,33.8500429,59.57700901,370.24623325,15.00364728581071,0.9901877914648575
465137605174350336,Stock_2,Risbud2025,106,S,T,39.514224,59.731378,367.7588,14.1154,-15.7091,11.813,12.5415,12.9977,11.9081,1.0896,4.7136,18.62,2.67,2.8637,-0.4585,0.0115,-0.4904,0.0098,1.6842,0.0945,13.42,-12.75,,,,,,,,,,,39.514099,59.731448,True,33.8500429,59.57700901,370.24623325,18.615940125009992,0.9932816784436523
507262751795559168,Stock_2,Risbud2025,106,S,T,34.930191,59.575766,355.7604,16.1498,-14.4712,7.2735,13.4896,13.9929,12.8235,1.1694,5.7338,14.89,1.17,0.547,-0.045,0.0126,0.0681,0.0131,-0.8995,0.0853,6.71,-13.23,,,,,,,,,,,34.930049,59.57583,True,33.8500429,59.57700901,370.24623325,14.894408862152549,0.9608751367357766
465360363658310016,Stock_2,Risbud2025,106,S,T,37.03264,60.444448,359.3814,15.8241,-13.7352,11.0469,14.4392,15.0856,13.6625,1.4231,6.6615,15.84,3.32,1.8113,0.9069,0.0275,0.9154,0.0078,1.6698,0.0885,8.51,-13.23,,,,,,,,,,,37.032497,60.444509,True,33.8500429,59.57700901,370.24623325,15.844973170612334,0.9706551146931891
465349231103137920,Stock_2,Risbud2025,106,S,T,36.764841,60.15347,359.2552,15.6018,-14.9262,9.8711,12.3786,12.8492,11.738,1.1113,4.6016,14.87,1.26,1.5724,0.0182,0.0132,-0.04,0.0067,0.9868,0.0886,6.55,-13.23,,,,,,,,,,,36.764702,60.153536,True,33.8500429,59.57700901,370.24623325,14.8661583624405,0.9703142604489954
459171281428834944,Stock_2,Risbud2025,106,S,T,34.899635,58.980362,357.0786,15.8568,-14.5542,9.2109,12.5737,12.9709,12.0085,0.9624,4.8098,14.12,0.75,0.8021,-0.0996,0.0019,-0.2968,0.0158,0.1105,0.0852,5.52,-13.23,,,,,,,,,,,34.899498,58.980427,True,33.8500429,59.57700901,370.24623325,14.117369291274118,0.9644354700534958
454845218566439808,Stock_2,Risbud2025,106,S,T,41.094729,57.111814,366.5988,14.3962,-15.4361,12.5268,12.8637,13.2913,12.2671,1.0242,5.0427,29.33,1.69,4.5229,0.2143,0.0024,0.0701,0.021,1.6148,0.1613,19.9,-21.73,,,,,,,,,,,41.094611,57.111882,True,33.8500429,59.57700901,370.24623325,29.333173826691407,0.9901486283385437
460607003091914752,Stock_2,Risbud2025,106,S,T,43.01625,56.960207,370.9595,13.773,-15.1529,12.2156,13.46,13.9407,12.8128,1.128,5.6134,35.43,1.14,5.4704,0.0093,0.0054,0.5551,0.0202,0.8718,0.1757,27.04,-22.67,,,,,,,,,,,43.016138,56.960274,True,33.8500429,59.57700901,370.24623325,35.43154768829721,1.0019264659190155
458167255512644480,Stock_2,Risbud2025,106,S,T,39.160869,58.355903,354.8897,15.3871,-14.4702,9.9071,14.9369,15.664,14.1094,1.5546,7.1865,24.4,1.73,2.9954,-0.1627,0.0117,1.0683,0.0296,-0.1229,0.1663,4.59,-24.09,,,,,,,,,,,39.160739,58.355967,True,33.8500429,59.57700901,370.24623325,24.39684329758652,0.958523458523261
